"location","created_at","date","observers","other_observers","edna_water_collected","edna_volume_collected_l","humidity","pressure","elevation","wind_speed_ms","air_temperature_c","dissolved_oxygen","water_temperature_c","conductivity_us","ph","sampling_event_comments","fulcrum_id"
"Phelps Pond","2022-05-06 00:32:22 UTC",2022-05-05,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.3,13,NA,14.8,76.1,NA,NA,NA
"Admin Pond","2022-05-12 00:40:09 UTC",2022-05-11,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.4,19.6,NA,20.5,29.3,NA,"pH 7.65",NA
"RV Pond","2022-05-13 00:26:02 UTC",2022-05-12,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.5,23.5,NA,24,76.6,6.44,NA,NA
"Admin Pond","2022-05-20 00:55:56 UTC",2022-05-19,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,1,22.2,NA,19.5,42.1,6.95,NA,NA
"Admin Pond","2022-05-19 00:20:30 UTC",2022-05-18,"Brandon Hoenig,Cori Richards-Zawacki,Emily Jolly",NA,NA,NA,NA,NA,NA,0.5,12.1,NA,12.8,37.1,7.26,NA,NA
"Wood Lab Pond","2022-05-05 00:51:40 UTC",2022-05-04,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,NA,12.8,NA,13,NA,NA,"Used multimeter for air temp.  Ph is 6.28",NA
"Admin Pond","2022-05-20 17:22:56 UTC",2022-05-20,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,2.2,19.4,NA,18.9,42.9,6.97,NA,NA
"Wood Lab Pond","2022-05-27 00:31:47 UTC",2022-05-26,"Brandon Hoenig,Emily Jolly,Shane Robertson",NA,NA,NA,NA,NA,NA,0,23.6,NA,19.2,32.2,5.79,NA,NA
"Wood Lab Pond","2022-05-28 00:40:55 UTC",2022-05-27,"Brandon Hoenig,Emily Jolly,Shane Robertson",NA,NA,NA,NA,NA,NA,0,17.3,NA,17.6,25.9,7.69,NA,NA
"Wood Lab Pond","2022-05-28 14:32:57 UTC",2022-05-28,"Brandon Hoenig,Emily Jolly,Shane Robertson",NA,NA,NA,NA,NA,NA,0.3,16.1,NA,15.8,24.9,7.27,NA,NA
"Phelps Pond","2022-06-04 00:16:05 UTC",2022-06-03,"Brandon Hoenig,Emily Jolly,Shane Robertson",NA,"yes",3,NA,NA,NA,0,20.3,NA,20.6,105.1,5.4,NA,NA
"Phelps Pond","2022-06-05 00:54:46 UTC",2022-06-04,"Brandon Hoenig,Emily Jolly,Shane Robertson",NA,"no",NA,NA,NA,NA,0,15.7,NA,19.1,107.5,6.14,NA,NA
"Phelps Pond","2022-06-05 14:35:16 UTC",2022-06-05,"Brandon Hoenig,Emily Jolly,Shane Robertson",NA,"no",NA,NA,NA,NA,0.6,16.9,NA,16.6,99.8,6.84,NA,NA
"RV Pond","2022-06-09 01:04:33 UTC",2022-06-08,"Brandon Hoenig,Emily Jolly,Sydney Dawson,Myah Madril",NA,"no",NA,NA,NA,NA,0,17.9,NA,20.9,101.8,6.35,NA,NA
"RV Pond","2022-06-09 14:29:53 UTC",2022-06-09,"Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,1.7,14.2,NA,18,97.2,6.41,NA,NA
"RV Pond","2022-06-08 01:31:26 UTC",2022-06-07,"Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"yes",1,NA,NA,NA,0,15.2,NA,19.1,105.5,6.06,NA,NA
"Tuttle Pond","2022-06-15 00:42:07 UTC",2022-06-14,"Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,0,22.9,NA,23.3,110.5,6.06,NA,NA
"Tuttle Pond","2022-06-16 01:30:36 UTC",2022-06-15,"Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"yes",NA,NA,NA,NA,0.3,26.3,NA,25.2,128,6.38,NA,NA
"Tuttle Pond","2022-06-16 14:28:58 UTC",2022-06-16,"Emily Jolly,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,0.3,25.2,NA,23.2,139.9,6.62,NA,NA
"Tryon-Weber","2022-06-22 14:25:55 UTC",2022-06-22,"Brandon Hoenig,Cori Richards-Zawacki,Emily Jolly,Myah Madril,Sydney Dawson",NA,"yes",NA,NA,NA,NA,0,24.1,NA,18.2,159.3,6.05,NA,NA
"Tryon-Weber","2022-06-23 14:46:09 UTC",2022-06-23,"Emily Jolly,Myah Madril,Sydney Dawson",NA,NA,NA,NA,NA,NA,0,18.6,NA,17,160.3,6.67,NA,NA
"Tryon-Weber","2022-06-24 01:27:11 UTC",2022-06-23,"Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,0,17.3,NA,18.1,166.2,7.48,NA,NA
"Vorisek Pond","2022-06-28 02:07:08 UTC",2022-06-27,"Brandon Hoenig,Myah Madril,Sydney Dawson",NA,"yes",NA,NA,NA,NA,0,17.5,NA,24.7,141.2,5.87,NA,NA
"Vorisek Pond","2022-06-29 01:31:49 UTC",2022-06-28,"Brandon Hoenig,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,0.3,16.9,NA,25.4,147.2,6.2,NA,NA
"RV Pond","2022-07-12 01:21:23 UTC",2022-07-11,"Brandon Hoenig,Myah Madril,Sydney Dawson","Rachel Verdi","yes",NA,NA,NA,NA,0.4,23.6,NA,24.5,245,5.89,NA,NA
"RV Pond","2022-07-13 02:00:04 UTC",2022-07-12,"Brandon Hoenig,Myah Madril,Sydney Dawson","Rachel Verdi",NA,NA,NA,NA,NA,0,20.3,NA,24,195.6,6.62,NA,NA
"Tuttle Pond","2022-07-19 01:47:04 UTC",2022-07-18,"Sydney Dawson,Myah Madril,Brandon Hoenig","Rachel Verdi","yes",3,NA,NA,NA,0,21.6,NA,21.2,287,6.28,"Class group collected frogs from this site (date?)",NA
"Tuttle Pond","2022-07-20 01:32:27 UTC",2022-07-19,"Sydney Dawson,Brandon Hoenig,Myah Madril","Rachel Verdi","no",NA,NA,NA,NA,0,24.9,NA,24.6,273,6.54,NA,NA
"Tryon-Weber","2022-08-02 14:44:57 UTC",2022-08-02,"Brandon Hoenig,Sydney Dawson",NA,"yes",2,NA,NA,NA,0,23.5,NA,19.7,212,6.19,NA,NA
"RV Pond","2022-09-11 00:16:31 UTC",2022-09-10,"Brandon Hoenig,Samuel Lapp","Jake Eisaguere","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Lab Pond","2022-05-05 00:51:40 UTC",2022-05-04,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,NA,12.8,NA,13,NA,NA,"Used multimeter for air temp.  Ph is 6.28","4283096b-b956-4501-974c-3bd729831d91"
"Phelps Pond","2022-05-06 00:32:22 UTC",2022-05-05,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.3,13,NA,14.8,76.1,NA,NA,"81918035-8727-4979-ae70-dd9eb29b3676"
"Admin Pond","2022-05-12 00:40:09 UTC",2022-05-11,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.4,19.6,NA,20.5,29.3,NA,"pH 7.65","3334ebd7-54c0-4e18-a80c-abb313f185f1"
"RV Pond","2022-05-13 00:26:02 UTC",2022-05-12,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.5,23.5,NA,24,76.6,6.44,NA,"b40a6235-d3a6-498b-8cad-5845d07c5378"
"Admin Pond","2022-05-19 00:20:30 UTC",2022-05-18,"Brandon Hoenig,Cori Richards-Zawacki,Emily Jolly",NA,NA,NA,NA,NA,NA,0.5,12.1,NA,12.8,37.1,7.26,NA,"dfaf9677-e878-48ec-96a3-4e92f6af433a"
"Admin Pond","2022-05-20 00:55:56 UTC",2022-05-19,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,1,22.2,NA,19.5,42.1,6.95,NA,"0f868ee9-f2cf-46f2-93c2-fdaa780b3bef"
"Admin Pond","2022-05-20 17:22:56 UTC",2022-05-20,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,2.2,19.4,NA,18.9,42.9,6.97,NA,"51aa8925-2742-4c94-8d52-73a9d3642fc0"
